Sample	Oligotypes	Size	Host
Al0537	3	52.3	"A. boucheti"
Al0542	3	50.1	"A. boucheti"
Al0544	3	55.7	"A. boucheti"
Al0546	4	58.1	"A. boucheti"
Al0550	3	53.8	"A. boucheti"
Al0551	2	55.3	"A. boucheti"
Al0558	2	53.3	"A. boucheti"
Al0612	5	74.5	"A. boucheti"
Al0613	4	80.6	"A. boucheti"
Al0621	4	63.1	"A. kojimai"
Al0622	4	50.1	"A. kojimai"
Al0623	3	48.9	"A. kojimai"
Al0624	2	55.7	"A. kojimai"
Al0625	4	55.1	"A. kojimai"
Al0626	4	52.2	"A. kojimai"
Al0627	2	53.7	"A. kojimai"
Al0628	3	54.2	"A. kojimai"
Al0630	2	55	"A. kojimai"
Al0631	2	52	"A. kojimai"
Al0632	2	57.6	"A. kojimai"
Al0633	3	62.3	"A. kojimai"
Al0635	4	57.6	"A. kojimai"
Al0636	2	57.5	"A. kojimai"
Al0637	3	52	"A. kojimai"
Al0638	3	49.7	"A. kojimai"
Al0639	2	55.3	"A. kojimai"
Al0645	1	73.5	"A. kojimai"
Al0646	1	66.6	"A. kojimai"
Al0658	1	65.1	"A. kojimai"
Al0693	1	74.2	"A. kojimai"
Al0694	1	67.8	"A. kojimai"
Al0696	2	71.9	"A. kojimai"
Al0697	1	60.2	"A. kojimai"
Al0699	5	75	"A. kojimai"
Al0701	2	77.3	"A. kojimai"
Al0703	1	57.9	"A. kojimai"
Al0704	1	73.8	"A. kojimai"
Al0705	1	75.7	"A. kojimai"
Al0706	1	65.7	"A. kojimai"
Al0709	1	54.8	"A. kojimai"
Al0715	1	60.1	"A. kojimai"
Al0716	1	46.5	"A. kojimai"
Al0720	2	61.7	"A. kojimai"
Al0721	2	72.7	"A. boucheti"
Al0722	2	79	"A. boucheti"
Al0723	2	74	"A. boucheti"
Al0724	3	77.4	"A. boucheti"
Al0726	2	65.5	"A. boucheti"
Al0727	2	83.8	"A. boucheti"
Al0732	2	73.5	"A. boucheti"
Al0734	2	66.2	"A. boucheti"
Al0737	2	57.7	"A. boucheti"
Al0739	2	61.7	"A. boucheti"
Al0743	2	60	"A. boucheti"
Al0744	2	58.3	"A. boucheti"
Al0745	1	41	"A. kojimai"
Al0746	1	33.2	"A. kojimai"
Al0747	1	33.9	"A. kojimai"
Al0748	1	38.5	"A. kojimai"
Al0749	1	35.5	"A. kojimai"
Al0750	1	30.3	"A. kojimai"
Al0751	1	38.1	"A. kojimai"
Al0752	1	39	"A. kojimai"
Al0753	1	32.5	"A. kojimai"
Al0754	1	39	"A. kojimai"
Al0755	1	32	"A. kojimai"
Al0756	1	35.1	"A. kojimai"
Al0757	1	34.5	"A. kojimai"
Al0758	1	36.7	"A. kojimai"
Al0759	1	36.8	"A. kojimai"
Al0760	1	43	"A. kojimai"
Al0761	1	34.1	"A. kojimai"
Al0762	1	35.7	"A. kojimai"
Al0763	1	33.3	"A. kojimai"
Al0764	1	40.2	"A. kojimai"
Al0765	1	40	"A. kojimai"
Al0773	1	23.8	"A. kojimai"
Al0774	1	26.9	"A. kojimai"
Al0805	1	27.2	"A. kojimai"
IndA	1	27.16	"A. marisindica"
IndC	1	32.01	"A. marisindica"
IndD	1	34.97	"A. marisindica"
IndE	1	44.62	"A. marisindica"
IndF	1	18.01	"A. marisindica"
IndH	1	25.08	"A. marisindica"
IndI	1	27.55	"A. marisindica"
IndJ	1	30.65	"A. marisindica"
